CN-kod,Beskrivning_final,Tullsats
39209953,"Jonbytarmembran av fluorbelagt plastmaterial, inte porösa, avsedda att användas i klor-alkalielektrolysceller",25%
39209959,"Plattor, duk, film, folier och remsor av additionspolymerisationsprodukter, i.a.n., inte porösa och inte förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918, polyvinylfluoridduk, jonbytarmembran av fluorbelagt plastmaterial, avsedda att användas i klor-alkalielektrolysceller samt biaxiellt orienterad polyvinylalkoholfilm innehållande >= 97 viktprocent polyvinylalkohol, utan överdrag, med en tjocklek av <= 1 mm)",25%
39209990,"Plattor, duk, film, folier och remsor av plast, i.a.n., inte porösa och inte förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande och golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918 samt sterila adhesionsbarriärer för kirurgiskt eller dentalt bruk, även resorberbara enligt 3006)",25%
39219010,"Plattor, duk, film, band och remsor av polyestrar, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. av porös plast, självhäftande produkter samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219030,"Plattor, duk, film, folier och remsor av fenoplaster, icke-porösa produkter, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219041,"Plattor, duk, film, folier och remsor av laminerade aminoplaster, icke-porösa produkter, framställda under högtryckslaminat dekorerade på en eller båda sidor, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219043,"Plattor, duk, film, folier och remsor av laminerade aminoplaster, icke-porösa produkter, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande och golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918, samt framställda under högtryckslaminat dekorerade på en eller båda sidor)",25%
39219049,"Plattor, duk, film, folier och remsor av olaminerade aminoplaster, icke-porösa produkter, förstärkt, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219055,"Plattor, duk, film, band och remsor av kondensationsprodukter, polykondensationsprodukter och polyadditionsprodukter, även kemiskt modifierade, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. av polyestrar, fenoplaster och aminoplaster, självhäftande produkter samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219060,"Plattor, duk, film, folier och remsor av additionspolymerisationsprodukter, icke-porösa produkter, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. självhäftande samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39219090,"Plattor, duk, film, band och remsor av plast, förstärkta, laminerade eller på liknande sätt kombinerade med annat material, obearbetade eller endast ytbehandlade, oskurna eller endast nedskurna till kvadratisk eller rektangulär form (exkl. av porös plast, av additionspolymerisationsprodukter, kondensations-, polykondensations- eller polyadditionsprodukter, självhäftande produkter samt golvbeläggningsmaterial, vägg- eller takbeklädnad enligt nr 3918)",25%
39221000,"Badkar, duschkar, diskhoar och tvättställ av plast",25%
39222000,Sitsar och lock till toalettstolar av plast,25%
39229000,"Bidéer, toalettstolar, spolcisterner och liknande sanitetsartiklar av plast (exkl. badkar, duschkar, diskhoar, tvättställ samt sitsar och lock till toalettstolar)",25%
39231010,"Askar, lådor, häckar och liknande artiklar av plast, särskilt utformade eller inredda för transport eller förpackning av halvledarplattor ""wafers"", arbetsmasker eller modermasker",25%
39231090,"Askar, lådor, häckar och liknande artiklar för transport eller förpackning av varor, av plast (exkl. särskilda sådana för halvledarplattor ""wafers"", arbetsmasker eller modermasker)",25%
39232100,"Säckar, bärkassar och påsar, inkl. strutar, av polymerer av eten",25%
39232910,"Säckar, bärkassar och påsar, inkl. strutar, av polyvinylklorid",25%
39232990,"Säckar, bärkassar och påsar, inkl. strutar, av plast (exkl. av polymerer av eten och av polyvinylklorid)",25%
39233010,"Damejeanner, flaskor, kannor o.d. av plast, med en rymd av <= 2 liter",25%
39233090,"Damejeanner, flaskor, kannor o.d. av plast, med en rymd av > 2 liter",25%
39235010,Kapsyler för flaskor av plast,25%
39235090,"Proppar, lock och andra förslutningsartiklar av plast (exkl. kapsyler för flaskor)",25%
39239000,"Artiklar för transport eller förpackning av varor, av plast (exkl. askar, lådor, häckar och liknande artiklar, säckar, bärkassar och påsar, inkl. strutar, damejeanner, flaskor, kannor, spolar, cops, bobiner, proppar, lock, kapsyler och andra förslutningsartiklar)",25%
39241000,Bordsartiklar och köksartiklar av plast,25%
39249000,"Hushållsartiklar eller toalettartiklar av plast (exkl. bords- och köksartiklar samt badkar, duschkar, tvättställ, bidéer, toalettstolar, sitsar och lock till toalettstolar, spolcisterner och liknande sanitetsartiklar)",25%
39251000,"Cisterner, tankar, kar och liknande behållare med en rymd av > 300 liter",25%
39252000,"Dörrar, fönster, dörrkarmar och fönsterkarmar samt dörrtrösklar av plast",25%
39253000,"Fönsterluckor, markiser, persienner, spjäljalusier, rullgardiner och liknande artiklar samt delar till sådana artiklar, av plast (exkl. beslag och tillbehör av plast)",25%
39259010,"Beslag och liknande tillbehör för permanent fastsättning i eller på dörrar, fönster, trappor, väggar eller andra delar av byggnader, av plast",25%
39259020,"Kabelkanaler för elektriska ledningar, av plast",25%
39259080,"Konstruktioner för användning till golv, väggar, tak och liknande av plast; takrännor och tillbehör till takrännor av plast; balkonger, räcken, staket, grindar och liknande av plast; hyllkonstruktioner av plast i stort format och i delar, avsedda för sammansättning och permanent installering i t.ex. butiker, verkstäder eller varumagasin; utsmyckningsdetaljer av plast för byggnader t.ex. kupoler och liknande",25%
39269050,"Silar, perforerade samt andra kärl, av plast, för filtrering av vatten till avloppsledningar",25%
39269060,Ansiktsskärmar/visir av plast,25%
39269097,"Varor av plast samt varor av andra material enligt nr 3901–3914, i.a.n.",25%
42010000,"Sadelmakeriarbeten för alla slags djur, inkl. draglinor, koppel, knäskydd, munkorgar, vojlockar, sadelväskor, hundtäcken o.d., av alla slags material (exkl. säkerhetsbälten, selar för barn och vuxna, piskor, ridspön, promenad käppar o.d.)",25%
42021110,"Attachéväskor, portföljer, skolväskor o.d., med utsida av läder, konstläder eller lackläder",25%
42021190,"Koffertar, resväskor och sminkväskor, med utsida av läder, konstläder eller lackläder",25%
42021211,"Attachéväskor, portföljer, skolväskor o.d., med utsida av plast i form av plattor, duk eller folier",25%
42021219,"Koffertar, resväskor och sminkväskor, med utsida av plast i form av plattor, duk eller folier",25%
42021250,"Koffertar, resväskor, sminkväskor, attachéväskor, portföljer, skolväskor och liknande artiklar, med utsida av gjuten plast",25%
42021291,"Attachéväskor, portföljer, skolväskor o.d., med utsida av plast, inkl. vulkanfiber, eller textilmaterial (exkl. med utsida av plast i form av plattor, duk eller folier, eller med utsida av gjuten plast)",25%
42021299,"Koffertar, resväskor och sminkväskor, med utsida av plast eller textilmaterial (exkl. med utsida av plast i form av plattor, duk eller folier, eller med utsida av gjuten plast)",25%
42022900,"Handväskor, även med axelrem, inkl. handväskor utan handtag, med utsida av vulkanfiber eller av papper",25%
42023100,"Plånböcker, portmonnäer, kartfodral, cigarettetuier, tobakspungar och liknande artiklar som normalt bärs i fickan eller i handväskan, med utsida av läder, konstläder eller lackläder",25%
42023900,"Plånböcker, portmonnäer, cigarettetuier, tobakspungar och liknande artiklar som normalt bärs i fickan eller i handväskan, med utsida av vulkanfiber eller papper, inkl. glasögonfodral av gjuten plast",25%
42029900,"Ressäckar, necessärer, ryggsäckar, shoppingväskor, verktygsväskor, sportväskor, smyckeskrin, matsilveretuier och liknande behållare, för kikare, kameror, fodral för musikinstrument, vapen, hölster och liknande, med utsida av vulkanfiber eller papper (exkl. koffertar, resväskor, sminkväskor, portföljer, attachéväskor, skolväskor och liknande artiklar, handväskor samt artiklar av sådana slag som normalt bärs i fickan)",25%
42031000,"Kläder av läder eller konstläder (exkl. tillbehör till kläder, skodon, huvudbonader och delar därav samt benskydd och liknande sportutrustning)",25%
42032100,"Handskar, av läder eller konstläder, speciellt utformade för att användas vid sport- eller idrottsutövning",25%
42032910,Arbetshandskar av läder eller konstläder,25%
42032990,"Handskar, halvhandskar och vantar, av läder eller konstläder (exkl. handskar speciellt utformade för att användas vid sport- eller idrottsutövning samt arbetshandskar)",25%
42033000,"Bälten och axelremmar, av läder eller konstläder",25%
42034000,"Tillbehör till kläder, av läder eller konstläder (exkl. handskar och halvhandskar, bälten och axelremmar, skodon, huvudbonader och delar därav samt benskydd och liknande sportutrustning)",25%
42050011,Transportband av läder eller konstläder,25%
42050019,"Varor av läder eller konstläder, av sådana slag som används i maskiner, apparater eller mekaniska redskap eller för annat tekniskt ändamål (exkl. transportband)",25%
42050090,"Varor av läder eller konstläder (exkl. sadelmakeriarbeten, reseffekter, handväskor o.d., beklädnad och beklädnadstillbehör, varor för tekniskt ändamål, piskor, ridspön, promenad käppar o.d., möbler, lampor och belysningsartiklar, leksaker, spel, sportartiklar, knappar och delar därav, manchettknappar, armband och liknande samt artiklar av flätat material)",25%
42060000,"Varor av tarmar, guldslagarhinna, blåsor eller senor",25%
44071110,"Virke av furu ""Pinus spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, längdskarvat, även hyvlat eller slipat (exkl. S-P-F: gran ""Picea spp."", tall ""Pinus spp."" och ädelgran ""Abies spp."")",25%
44071120,"Virke av furu ""Pinus spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat (exkl. längdskarvat, och av S-P-F: gran ""Picea spp."", tall ""Pinus spp."" och ädelgran ""Abies spp."")",25%
44071190,"Virke av furu ""Pinus spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat och av S-P-F: gran ""Picea spp."", tall ""Pinus spp."" och ädelgran ""Abies spp."")",25%
44071220,"Virke av ädelgran ""Abies spp."" och gran ""Picea spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat (exkl. längdskarvat samt S-P-F: gran ""Picea spp."", tall ""Pinus spp."" och ädelgran ""Abies spp."")",25%
44071290,"Virke av ädelgran ""Abies spp."" och gran ""Picea spp."" sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat och hyvlat samt S-P-F: gran ""Picea spp."", tall ""Pinus spp."" och ädelgran ""Abies spp."")",25%
44071400,"Virke av Hem-fir, västamerikansk hemlock ""Tsuga heterophylla"" och ädelgran ""Abies spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, även längdskarvat, hyvlat eller slipat",25%
44071910,"Virke av barrträ, sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, längdskarvat, även hyvlat eller slipat (exkl. av furu ""Pinus spp."", ädelgran ""Abies spp."" och gran ""Picea spp."", S-P-F och Hem-fir)",25%
44071920,"Virke av barrträ, sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat (exkl. av furu ""Pinus spp."", ädelgran ""Abies spp."" och gran ""Picea spp."", S-P-F, Hem-fir och längdskarvat)",25%
44071990,"Virke av barrträ, sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. av furu ""Pinus spp."", ädelgran ""Abies spp."" och gran ""Picea spp."", S-P-F, Hem-fir samt längdskarvat och hyvlat)",25%
44072199,"Virke av mahogny ""Swietenia-spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44072320,"Teak, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat (exkl. längdskarvat)",25%
44072390,"Teak, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat och slipat)",25%
44072799,"Virke av sapelli, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44072810,"Virke av iroko, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, slipat; längdskarvat, även hyvlat eller slipat, med en tjocklek av > 6 mm",25%
44072899,"Virke av iroko, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44072995,"Virke av abura, acajou d'Afrique, afrormosia, ako, andiroba, aningré, avodiré, azobé, balau, bossé clair, bossé foncé, cativo, cedro, dabema, dibétou, doussié, framiré, freijo, fromager, fuma, geronggang, ilomba, ipé, jaboty, jelutong, jequitiba, jongkong, kapur, kempas, keruing, kosipo, kotibé, koto, limba, louro, maçaranduba, makoré, mandioqueira, mansonia, mengkulang, merawan, merbau, merpauh, mersawa, moabi, niangon, nyatoh, obeche, okoumé, onzabili, orey, ovengkol, ozigo, padauk, paldao, palissandre de Guatemala, pau Amarelo, pau marfim, pulai, punah, quaruba, ramin, saqui-saqui, sepetir, sipo, sucupira, suren, tauari, tiama, tola, sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat och slipat)",25%
44072998,"Virke av tropiska träslag, sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat och slipat, av abura, acajou d'Afrique, afrormosia, ako, alan, andiroba, aningré, avodiré, azobé, balau, balsa, bossé clair, bossé foncé, cativo, cedro, dabema, dibétou, doussié, framiré, freijo, fromager, fuma, geronggang, gul meranti, ilomba, , imbuia, ipé, iroko, jaboty, jelutong, jequitiba, jongkong, kapur, kempas, keruing, kosipo, kotibé, koto, limba, ljusröd meranti, louro, maçaranduba, Mahogny ”Swietenia spp.”, makoré, mandioqueira, mansonia, mengkulang, meranti bakau, merawan, merbau, merpauh, mersawa, moabi, mörkröd meranti, niangon, nyatoh, obeche, okoumé, onzabili, orey, ovengkol, ozigo, padauk, paldao, palissandre de Guatemala, palissandre de Para, palissandre de Rio, palissandre de Rose, pau Amarelo, pau marfim, pulai, punah, quaruba, ramin, sapelli, saqui-saqui, sepetir, sipo, sucupira, suren, tauari, teak, tiama, tola,",25%
44079200,"Virke av bok av arter av släktet ""Fagus"", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, även hyvlat, slipat eller längdskarvat, med en tjocklek av > 6 mm",25%
44079310,"Virke av lönn "" Acer spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, hyvlat; längdskarvat, även hyvlat eller slipat, med en tjocklek av > 6 mm",25%
44079391,"Virke av lönn "" Acer spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, slipat, med en tjocklek av > 6 mm (exkl. längdskarvat)",25%
44079399,"Virke av lönn "" Acer spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44079410,"Virke av körsbärsträ ""Prunus spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, hyvlat; längdskarvat, även hyvlat eller slipat, med en tjocklek av > 6 mm",25%
44079491,"Virke av körsbärsträ ""Prunus spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, slipat, med en tjocklek av > 6 mm (exkl. längdskarvat)",25%
44079499,"Virke av körsbärsträ ""Prunus spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44079510,"Virke av ask ""Fraxinus spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, hyvlat; längdskarvat, även hyvlat eller slipat, med en tjocklek av > 6 mm",25%
44079599,"Virke av ask ""Fraxinus spp."", sågat eller kluvet i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. längdskarvat, hyvlat eller slipat)",25%
44079699,"Virke av björk ""Betula spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mmt (exkl. längdskarvat, hyvlat och slipat)",25%
44079710,"Virke av poppel och asp ""Populus spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat; längdskarvat, även hyvlat eller slipat",25%
44079799,"Virke av poppel och asp ""Populus spp."", sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm (exkl. hyvlat, slipat eller längdskarvat)",25%
44079927,"Virke, sågat eller kluvet i längdriktningen, skuret eller svarvat till skivor, med en tjocklek av > 6 mm, hyvlat; längdskarvat, även hyvlat eller slipat (exkl. virke av tropiska träslag, barrträ, ek ""Quercus spp."", bok ""Fagus spp."", lönn ""Acer spp."", körsbärsträ ""Prunus spp."" samt av ask ""Fraxinus spp."", björk ""Betula spp."", poppel och asp ""Populus spp."")",25%
44081015,"Skivor för fanering, inbegripet sådana som erhållits genom skärning av laminerat virke, skivor för plywood av barrträ eller för liknande laminerat virke av barrträ och annat virke av barrträ, sågat i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av <= 6 mm, hyvlat, slipat eller längdskarvat",25%
44081098,"Skivor för fanering, inbegripet sådana som erhållits genom skärning av laminerat virke, skivor för plywood av barrträ eller för liknande laminerat virke av barrträ och annat virke av barrträ, sågat i längdriktningen eller skuret eller svarvat till skivor, även kantskarvat, med en tjocklek av <= 6 mm (exkl. hyvlat, slipat eller längdskarvat samt virke för framställning av blyertspennor)",25%
44083930,"Skivor för fanering, inbegripet sådana som erhållits genom skärning av laminerat virke, skivor för plywood eller för liknande laminerat virke och annat virke, sågat i längdriktningen eller skuret eller svarvat till skivor, även kantskarvat, med en tjocklek av <= 6 mm, av vit lauan, sipo, limba, okoumé, obeche ""abachi"", afrikansk mahogny, sapelli, virola, mahogny ""Swietenia spp."", palissandre de Rio, palissandre de Para och palissandre de Rose (exkl. hyvlat, slipat eller längdskarvat)",25%
44083985,"Skivor för fanering, inkl. sådana som erhållits genom skärning av laminerat virke, skivor för plywood eller för liknande laminerat virke och annat virke, sågat i längdriktningen eller skuret eller svarvat till skivor, även kantskarvat, med en tjocklek av <= 1 mm, av tropiska träslag (exkl. längdskarvat, hyvlat eller slipat, av afrikansk mahogny, limba, mahogny ""Swietenia spp."", obeche ""abachi"", okoumé, palissandre de Para, palissandre de Rio, palissandre de Rose, sapelli, sipo, virola och vit lauan)",25%
44083995,"Skivor för fanering, inkl. sådana som erhållits genom skärning av laminerat virke, skivor för plywood eller för liknande laminerat virke och annat virke, sågat i längdriktningen eller skuret eller svarvat till skivor, även kantskarvat, med en tjocklek av > 1 mm, av tropiska träslag (exkl. längdskarvat, hyvlat eller slipat, av afrikansk mahogny, limba, mahogny ""Swietenia spp."", obeche ""abachi"", okoumé, palissandre de Para, palissandre de Rio, palissandre de Rose, sapelli, sipo, virola och vit lauan)",25%
44089015,"Skivor för fanering, inbegripet sådana som erhållits genom skärning av laminerat virke, skivor för plywood eller för liknande laminerat virke och annat virke, sågat i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av <= 6 mm, hyvlat, slipat eller längdskarvat (exkl. av tropiska träslag och av barrträ)",25%
44089095,"Skivor för fanering, inbegripet sådana som erhållits genom skärning av laminerat virke, skivor för plywood eller för liknande laminerat virke och annat virke, sågat i längdriktningen eller skuret eller svarvat till skivor, med en tjocklek av > 1 mm, även kantkarvat (exkl. hyvlat, slipat eller längdskarvat samt skivor av tropiska träslag och av barrträ)",25%
44091011,"Lister för ramar till målningar, fotografier, speglar o.d., av barrträ",25%
44091018,"Virke av barrträ, inbegripet icke-sammansatt parkettstav, likformigt bearbetat utefter hela längden ""spontat, falsat, fasat, försett med pärlstav, profilerat, bearbetat till rund form e.d."", på kanter, ändar eller sidor, även hyvlat, slipat eller längdskarvat (exkl. lister för ramar till målningar, fotografier, speglar o.d.)",25%
44092100,"Bambu, inkl. icke sammansatt parkettstav, likformigt bearbetat utefter hela längden ""spontat, falsat, fasat, försett med pärlstav, profilerat, bearbetat till rund form e.d."", på kanter, ändar eller sidor, även hyvlat, slipat eller längdskarvat",25%
44092200,"Virke av tropiska träslag, inkl. parkettstav, icke-sammansatt, likformigt bearbetat utefter hela längden ""spontat, falsat, fasat, försett med pärlstav, profilerat, bearbetat till rund form e.d."", på kanter, ändar eller sidor, även hyvlat, slipat eller längdskarvat",25%
44092910,"Lister för ramar till målningar, fotografier, speglar o.d., av trä (exkl. av barrträ, tropiska träslag och bambu)",25%
44092991,"Parkettstav, icke sammansatt, likformigt bearbetat utefter hela längden ""spontat, falsat, fasat, försett med pärlstav, profilerat, bearbetat till rund form e.d."", på kanter, ändar eller sidor, även hyvlat, slipat eller längdskarvat, av trä (exkl. av barrträ, tropiska träslag och bambu)",25%
44101110,"Spånskivor av trä, även agglomererade med harts eller andra organiska bindemedel, obearbetade eller endast slipade (exkl. ""oriented strand board"", ""waferboard"", fiberplattor och cellplattor)",25%
44101130,"Spånskivor av trä, även agglomererade med harts eller andra organiska bindemedel, ytbelagda med melaminplastimpregnerat papper (exkl. ""oriented strand board"", ""waferboard"", fiberplattor och cellplattor)",25%
44101150,"Spånskivor av trä, även agglomererade med harts eller andra organiska bindemedel, ytbelagda med dekorativa plattor av plastlaminat (exkl. ""oriented strand board"", ""waferboard"", fiberplattor och cellplattor)",25%
44101190,"Spånskivor av trä, även agglomererade med harts eller andra organiska bindemedel (exkl. obearbetade eller endast slipade, ytbelagda med melaminplastimpregnerat papper eller med dekorativa plattor av plastlaminat, ""oriented strand board"", ""waferboard"", fiberplattor och cellplattor)",25%
44101290,"Oriented strand board OSB, av trä (exkl. obearbetade eller endast slipade)",25%
44101900,"Spånskivor och liknande skivor av trä, även agglomererade med harts eller andra organiska bindemedel (exkl. obearbetade eller endast slipade, ""oriented strand board"", ""waferboard"", fiberplattor och cellplattor)",25%
44109000,"Spånskivor och liknande skivor av bagass, bambu, halm eller andra träliknande material, även agglomererade med harts eller andra organiska bindemedel (exkl. fiberplattor, cellplattor, fanerade spånplattor, plattor av träliknande material agglomererade med cement, gips eller andra mineraliska bindemedel samt spånplattor av trä)",25%
44111210,"Torrtillverkade träfiberskivor ""MDF"", med en tjocklek av <= 5 mm (exkl. mekaniskt bearbetade och ytbelagda)",25%
44111292,"Torrtillverkad träfiberskiva ""MDF"" med medeldensitet, med en tjocklek av <=5 mm, med en densitet av > 0,8 g/cm³ ""HDF"", mekaniskt bearbetad eller ytbelagd",25%
44111294,"Torrtillverkad träfiberskiva ""MDF"" med medeldensitet, med en tjocklek av <= 5 mm, med en densitet av <=0,8 g/cm³, mekaniskt bearbetad eller ytbelagd",25%
44111310,"Torrtillverkade träfiberskivor ""MDF"", med en tjocklek av > 5 mm men <= 9 mm (exkl. mekaniskt bearbetade och ytbelagda)",25%
44111391,"Golvbeläggningar av laminat av torrtillverkade träfiberskivor ""MDF"" av medeldensitet, med en tjocklek av > 5 mm men <= 9 mm, med en densitet av > 0,8 g/cm³ ""HDF""",25%
44111393,"Torrtillverkade träfiberskivor ""MDF"" av medeldensitet, med en tjocklek av > 5 mm men <= 9 mm, med en densitet av > 0,8 g/cm³ ""HDF"", mekaniskt bearbetad eller ytbelagd (exkl. golvbeläggningar av laminat)",25%
44111394,"Torrtillverkad träfiberskiva ""MDF"" av medeldensitet, med en tjocklek av > 5 mm men <=9 mm, med en densitet av <=0,8 g/cm³, mekaniskt bearbetad eller ytbelagd",25%
44111410,"Torrtillverkade träfiberskivor ""MDF"", med en tjocklek av > 9 mm (exkl. mekaniskt bearbetade och ytbelagda)",25%
44111491,"Golvbeläggningar av laminat av torrtillverkade träfiberskivor ""MDF"" med medeldensitet, med en tjocklek av > 9 mm, med en densitet av > 0,8 g/cm³ ""HDF""",25%
44111493,"Torrtillverkade träfiberskivor ""MDF"" med medeldensitet, med en tjocklek av > 9 mm, med en densitet av > 0,8 g/cm³ ""HDF"", mekaniskt bearbetad eller ytbelagd (exkl. golvbeläggningar av laminat)",25%
44111495,"Torrtillverkad träfiberskiva ""MDF"" med medeldensitet, med en tjocklek av > 9 mm, med en densitet av > 0,5 g/cm³ men <= 0,8 g/cm³, mekaniskt bearbetad eller ytbelagd",25%
44111497,"Torrtillverkad träfiberskiva ""MDF"" av medeldensitet, med en tjocklek av > 9 mm, med en densitet av <= 0,5 g/cm³, mekaniskt bearbetad eller ytbelagd",25%
44119290,"Fiberskivor av trä eller andra vedartade material, även innehållande harts eller andra organiska bindemedel, med en densitet av > 0,8 g per cm³, mekaniskt bearbetade och ytbelagda (exkl. torrtillverkade fiberskivor ""MDF""; spånplattor, även laminerade med en eller flera fiberskivor; laminerade träprodukter med lager av fiberskivor; cellplattor, på båda sidor beklädda med fiberskivor; kartong samt möbeldelar)",25%
44119300,"Torrtillverkad träfiberskiva av trä eller andra trämaterial, även agglomererade med hartser eller andra organiska bindemedel, med en densitet av > 0,5 g/cm³ men <= 0,8 g/cm³ (exkl. mediumdensitetsfiberskivor ""MDF""; spånskivor, även bundna med en eller flera skivor av träfiberskiva; laminerat trä med ett lager av plywood; cellulära träpaneler vars båda sidor är träfiberskivor; kartong; identifierbara möbelkomponenter)",25%
44119490,"Fiberskivor av trä eller andra vedartade material, även innehållande harts eller andra organiska bindemedel, med en densitet av <= 0,5 per cm³ , mekaniskt bearbetade och ytbelagda (exkl. torrtillverkade fiberskivor ""MDF""; spånplattor, även laminerade med en eller flera fiberskivor; laminerade träprodukter med lager av fiberskivor; cellplattor, på båda sidor beklädda med fiberskivor; kartong samt möbeldelar)",25%
44121000,"Kryssfaner ""plywood"", fanerade skivor och liknande trälaminat, av bambu (exkl. skivor av trä med hög densitet, cellplattor, sammansatta golvskivor, trä med inläggningar, samt skivor som karakteriseras som delar till möbler)",25%
44123110,"Kryssfanér ""plywood"" bestående enbart av träfanerskikt som vart och ett har en tjocklek av <= 6 mm, med minst ett yttre skikt av mörkröd meranti, ljusröd meranti, vit lauan, sipo, limba, obeche ""abachi"", okoumé, afrikansk mahogny, sapelli, virola, äkta mahogny av arter av släktet ""Swietenia"", palissandre de Rio, palissandre de Para och palissandre de Rose (exkl. skivor av trä med hög densitet, cellplattor, sammansatta parkettstavar, trä med inläggningar, samt skivor som karakteriseras som delar till möbler)",25%
